class,precision,recall,f1_score,support
all_benign,0.986,0.946,0.966,148
all_early,0.947,0.986,0.966,146
all_pre,0.993,0.972,0.983,145
all_pro,0.966,0.986,0.976,144
brain_glioma,0.853,0.917,0.884,133
brain_menin,0.704,0.851,0.77,134
brain_tumor,0.898,0.642,0.749,137
breast_benign,0.972,0.808,0.883,172
breast_malignant,0.784,0.978,0.87,137
cervix_dyk,0.964,0.788,0.867,137
cervix_koc,0.766,0.917,0.835,157
cervix_mep,0.93,0.858,0.893,155
cervix_pab,0.962,0.975,0.968,157
cervix_sfi,0.832,0.941,0.883,169
colon_aca,0.956,0.854,0.902,151
colon_bnt,0.907,0.986,0.945,139
kidney_normal,0.841,0.994,0.911,154
kidney_tumor,0.992,0.81,0.891,147
lung_aca,0.861,0.925,0.892,147
lung_bnt,0.994,0.988,0.991,164
lung_scc,0.938,0.865,0.9,156
lymph_cll,0.874,0.916,0.894,166
lymph_fl,0.847,0.917,0.881,169
lymph_mcl,0.844,0.725,0.78,149
oral_normal,0.782,0.628,0.697,148
oral_scc,0.693,0.748,0.72,139
