class,precision,recall,f1_score,support
all_benign,0.993,0.986,0.99,148
all_early,0.986,1.0,0.993,146
all_pre,0.993,1.0,0.997,145
all_pro,1.0,0.993,0.997,144
brain_glioma,0.97,0.985,0.978,133
brain_menin,0.885,0.918,0.901,134
brain_tumor,0.938,0.883,0.91,137
breast_benign,0.994,1.0,0.997,172
breast_malignant,1.0,0.993,0.996,137
cervix_dyk,0.985,0.964,0.974,137
cervix_koc,0.923,0.987,0.954,157
cervix_mep,0.993,0.948,0.97,155
cervix_pab,0.994,1.0,0.997,157
cervix_sfi,1.0,0.988,0.994,169
colon_aca,1.0,1.0,1.0,151
colon_bnt,1.0,1.0,1.0,139
kidney_normal,0.993,0.935,0.963,154
kidney_tumor,0.93,0.993,0.961,147
lung_aca,0.993,0.993,0.993,147
lung_bnt,1.0,1.0,1.0,164
lung_scc,0.994,0.994,0.994,156
lymph_cll,0.988,0.97,0.979,166
lymph_fl,0.977,0.994,0.985,169
lymph_mcl,0.993,0.993,0.993,149
oral_normal,0.982,0.757,0.855,148
oral_scc,0.797,0.986,0.881,139
